HM	Percentage of control reads	SNR
h3k4me1	0	33
h3k4me1	0.1	29
h3k4me1	0.2	25
h3k4me1	0.3	22
h3k4me1	0.4	19
h3k4me1	0.5	16
h3k4me1	0.6	13
h3k4me1	0.7	11
h3k4me1	0.8	8
h3k4me1	0.9	6
h3k4me3	0	75
h3k4me3	0.1	61
h3k4me3	0.2	51
h3k4me3	0.3	42
h3k4me3	0.4	36
h3k4me3	0.5	30
h3k4me3	0.6	24
h3k4me3	0.7	19
h3k4me3	0.8	14
h3k4me3	0.9	11
h3k27ac	0	26
h3k27ac	0.1	22
h3k27ac	0.2	20
h3k27ac	0.3	17
h3k27ac	0.4	15
h3k27ac	0.5	12
h3k27ac	0.6	10
h3k27ac	0.7	8
h3k27ac	0.8	7
h3k27ac	0.9	5
h3k27me3	0	13
h3k27me3	0.1	12
h3k27me3	0.2	11
h3k27me3	0.3	10
h3k27me3	0.4	9
h3k27me3	0.5	8
h3k27me3	0.6	8
h3k27me3	0.7	8
h3k27me3	0.8	8
h3k27me3	0.9	8
h3k36me3	0	17
h3k36me3	0.1	15
h3k36me3	0.2	14
h3k36me3	0.3	12
h3k36me3	0.4	11
h3k36me3	0.5	9
h3k36me3	0.6	8
h3k36me3	0.7	7
h3k36me3	0.8	6
h3k36me3	0.9	5
