HM,Peaks source,Percentage of reads in peaks,Peakcaller,Precision,Recall,SNR
h3k4me1,encode,10.00%,macs2,100.00%,46.41%,36
h3k4me1,encode,10.00%,span,99.79%,76.57%,36
h3k4me1,encode,10.00%,sicer,99.99%,68.47%,36
h3k4me1,encode,5.00%,macs2,100.00%,29.35%,22
h3k4me1,encode,5.00%,span,99.74%,60.50%,22
h3k4me1,encode,5.00%,sicer,100.00%,55.83%,22
h3k4me1,encode,1.00%,span,9.08%,53.73%,8
h3k4me1,encode,1.00%,sicer,100.00%,5.01%,8
h3k4me1,span,10.00%,macs2,100.00%,24.70%,18
h3k4me1,span,10.00%,span,99.50%,64.70%,18
h3k4me1,span,10.00%,sicer,100.00%,50.75%,18
h3k4me1,span,5.00%,span,99.30%,45.42%,11
h3k4me1,span,5.00%,sicer,100.00%,31.25%,11
h3k4me1,span,1.00%,span,8.56%,47.18%,7
h3k4me3,encode,10.00%,macs2,99.47%,64.24%,46
h3k4me3,encode,10.00%,span,76.87%,79.06%,46
h3k4me3,encode,10.00%,sicer,99.20%,77.03%,46
h3k4me3,encode,5.00%,macs2,99.83%,54.25%,21
h3k4me3,encode,5.00%,span,99.21%,66.27%,21
h3k4me3,encode,5.00%,sicer,99.71%,68.39%,21
h3k4me3,encode,1.00%,macs2,100.00%,9.79%,6
h3k4me3,encode,1.00%,span,81.80%,44.76%,6
h3k4me3,encode,1.00%,sicer,99.95%,40.09%,6
h3k4me3,encode,0.70%,macs2,100.00%,1.47%,6
h3k4me3,encode,0.70%,span,35.35%,39.77%,6
h3k4me3,encode,0.70%,sicer,99.95%,23.62%,6
h3k4me3,encode,0.50%,span,5.50%,39.30%,6
h3k4me3,encode,0.50%,sicer,99.64%,9.43%,6
h3k27ac,encode,10.00%,macs2,99.85%,75.36%,30
h3k27ac,encode,10.00%,span,98.68%,88.39%,30
h3k27ac,encode,10.00%,sicer,99.93%,71.49%,30
h3k27ac,encode,5.00%,macs2,99.93%,55.14%,20
h3k27ac,encode,5.00%,span,99.76%,63.53%,20
h3k27ac,encode,5.00%,sicer,99.98%,59.36%,20
h3k27ac,encode,1.00%,span,54.23%,30.52%,6
h3k27ac,encode,1.00%,sicer,100.00%,20.49%,6
h3k27ac,encode,0.70%,span,23.62%,23.96%,6
h3k27ac,encode,0.70%,sicer,99.99%,8.32%,6
h3k27ac,encode,0.50%,span,14.20%,12.95%,5
h3k27ac,encode,0.50%,sicer,99.51%,0.84%,5
h3k27ac,span,10.00%,macs2,99.74%,77.75%,19
h3k27ac,span,10.00%,span,93.86%,88.64%,19
h3k27ac,span,10.00%,sicer,99.86%,72.34%,19
h3k27ac,span,5.00%,macs2,99.92%,65.60%,14
h3k27ac,span,5.00%,span,97.78%,78.69%,14
h3k27ac,span,5.00%,sicer,99.96%,63.18%,14
h3k27ac,span,1.00%,span,72.13%,44.54%,6
h3k27ac,span,1.00%,sicer,99.99%,15.95%,6
h3k27ac,span,0.70%,span,26.92%,52.83%,5
h3k27ac,span,0.70%,sicer,99.88%,4.43%,5
h3k27ac,span,0.50%,span,19.96%,27.16%,5
h3k27ac,span,0.50%,sicer,97.58%,0.24%,5
h3k27me3,encode,10.00%,macs2,99.79%,87.54%,57
h3k27me3,encode,10.00%,span,99.41%,96.38%,57
h3k27me3,encode,10.00%,sicer,99.61%,92.75%,57
h3k27me3,encode,5.00%,macs2,99.94%,73.43%,32
h3k27me3,encode,5.00%,span,99.60%,92.67%,32
h3k27me3,encode,5.00%,sicer,99.77%,87.72%,32
h3k27me3,encode,1.00%,macs2,100.00%,21.37%,10
h3k27me3,encode,1.00%,span,36.64%,63.03%,10
h3k27me3,encode,1.00%,sicer,99.98%,56.16%,10
h3k27me3,encode,0.70%,macs2,100.00%,12.49%,9
h3k27me3,encode,0.70%,span,25.99%,54.55%,9
h3k27me3,encode,0.70%,sicer,99.99%,46.87%,9
h3k27me3,encode,0.50%,macs2,100.00%,5.82%,8
h3k27me3,encode,0.50%,span,19.55%,48.13%,8
h3k27me3,encode,0.50%,sicer,100.00%,37.31%,8
